w,l,nf,flavor,vg,mean_rel_error,vth_error
1.6e-06,1e-06,8,6,0.9,1.9997508063262743,0.5580006067102503
1e-07,9e-08,1,6,0.9,1.9997475354114844,0.10575927438415939
1.6e-06,1e-06,4,9,0.9,1.9997412411144686,0.465847054704586
1.6e-06,5e-07,1,5,0.0,1.9997400059132189,0.062438728212416694
1.6e-06,5e-07,2,8,0.9,1.9997381027549992,0.4877871916362966
8e-07,2e-07,1,8,0.9,1.9997361784050298,0.3919637712557918
8e-07,1e-06,2,5,0.0,1.9997340227766984,0.028300125605986604
3e-06,5e-07,1,8,0.9,1.9997316364079434,0.4764594438843698
4e-07,5e-07,8,9,0.9,1.9997145240719931,0.4839175938219315
8e-07,5e-07,8,6,0.9,1.9997145020554274,0.599863755243257
2e-07,9e-08,1,9,0.9,1.9997106895558836,0.2815634390370527
2.65e-06,1e-06,4,7,0.9,1.99971003095878,0.6547732042329957
8e-07,5e-07,4,9,0.9,1.9997091669387583,0.4973490016422
1.6e-06,2e-07,1,5,0.0,1.9997080415828474,0.016215922788324844
3e-06,5e-07,1,9,0.9,1.9997044448063295,0.5033338875900303
4e-07,5e-07,8,1,0.0,1.9997036406113167,0.04625704288878396
8e-07,5e-07,2,4,0.0,1.9997028615289956,0.011310820094897589
4e-07,5e-07,8,2,0.0,1.999701014681272,0.01730887302726003
2e-07,2e-07,1,4,0.0,1.9996993456630228,-0.4233962532956641
1.6e-06,5e-07,2,9,0.9,1.9996988523294046,0.5101036688329793
1.6e-06,2e-07,1,1,0.0,1.999696661435951,0.04977247694039211
8e-07,2e-07,1,1,0.0,1.9996932052044905,0.27237404436133406
1e-07,9e-08,2,9,0.9,1.9996908968998173,0.27287513521223017
8e-07,2e-07,1,9,0.9,1.9996903768422343,0.4139190833899973
1e-07,6e-08,1,9,0.9,1.999687202106451,0.22435037236472516
1.6e-06,1e-06,1,4,0.0,1.9996830519468478,0.016474361187860387
8e-07,1e-06,4,1,0.0,1.9996812608829881,0.07082097116777442
4e-07,1e-06,8,2,0.0,1.9996811357086546,0.01695453215596654
4e-07,2e-07,1,4,0.0,1.9996810089716206,-0.25593030058444444
1.6e-06,5e-07,4,6,0.9,1.9996774191611664,0.6140403605899668
1.6e-06,1e-06,1,5,0.0,1.9996748985707573,0.050630954047019006
1e-07,9e-08,2,7,0.9,1.9996739916630095,0.12197589771483375
8e-07,5e-07,4,2,0.0,1.9996723731628152,0.021051178141551663
2e-07,5e-07,1,0,0.0,1.999664972504179,0.6614671686400158
3e-06,5e-07,2,6,0.9,1.9996642377146627,0.6366980100092402
2.65e-06,1e-06,4,9,0.9,1.999662681193064,0.5974025250743109
4e-07,5e-07,4,4,0.0,1.9996610632784577,-0.0037462745891760907
2.65e-06,1e-06,4,8,0.9,1.999660138616593,0.6589082274897186
1e-07,1e-06,2,0,0.0,1.9996584974991634,0.6632305903449522
1.6e-06,5e-07,1,4,0.0,1.9996579880282188,0.025172183226587763
2e-07,9e-08,1,8,0.9,1.9996542683783551,0.2665169313718185
8e-07,5e-07,1,1,0.0,1.9996515018962864,0.04438098716755656
1.6e-06,1e-06,8,7,0.9,1.9996440891187075,0.7304243014720494
4e-07,5e-07,8,5,0.0,1.9996433953564534,0.040599090442069996
8e-07,5e-07,8,7,0.9,1.999640306688109,0.6820785885201555
2e-07,9e-08,1,7,0.9,1.9996315207466122,0.17845711089980665
8e-07,1e-06,4,2,0.0,1.9996267711598648,0.010526387104709989
4e-07,1e-06,8,5,0.0,1.9996242980675099,0.02841701492318993
1.6e-06,5e-07,2,1,0.0,1.9996173556881303,0.04536497946440787
1.6e-06,5e-07,4,7,0.9,1.9996144714497857,0.7031573231479105
2.65e-06,1e-06,1,1,0.0,1.9996083171321888,0.03960940096477272
1e-07,9e-08,2,8,0.9,1.999605689688344,0.2639328149744067
1.6e-06,1e-06,8,8,0.9,1.9996043296537713,0.734833451647742
1e-07,2e-07,1,4,0.0,1.9996031193124195,-0.6058411058538554
3e-06,5e-07,2,7,0.9,1.999602171410702,0.6920210998020525
1e-07,5e-07,8,4,0.0,1.999601498468359,-0.14623424611506586
1.6e-06,5e-07,2,2,0.0,1.9995921403997539,0.014943583965057461
3e-06,5e-07,1,1,0.0,1.999589892513954,0.035156536197075594
