w,l,nf,flavor,vd,mean_rel_error,vth_error,vth,ion,ioff,peak_gm
1.6e-06,6e-08,1,1,0.0,1.999998903119476,-0.06516263394304622,0.578508447631363,2.789385e-07,1.082897e-07,8.305970000000002e-07
8e-07,3e-08,1,5,0.0,1.999998896088873,-0.1059361773428174,0.6,1.4071730000000008e-07,1.0948219999999998e-07,
8e-07,4e-08,1,5,0.0,1.999998896088873,-0.1059361773428174,0.6,1.4071730000000008e-07,1.0948219999999998e-07,
4e-07,6e-08,8,1,0.0,1.9999988516704317,0.48830959115278383,0.024812123019721934,5.341531e-07,1.0709970000000009e-07,9.630540000000001e-07
1e-07,9e-08,8,4,0.0,1.9999987859917998,-0.09731432475066237,0.5851679516518081,1.3988970000000004e-07,1.1278100000000001e-07,3.519210000000003e-07
1e-07,6e-08,8,4,0.0,1.9999987609645982,-0.09058338695547258,0.5475004886742557,1.826353e-07,1.1238960000000005e-07,3.937683333333335e-07
2e-07,4e-08,8,5,0.0,1.9999987511501358,0.2776124355777592,0.21333747026747157,3.1147450000000004e-07,1.102002e-07,
2e-07,3e-08,8,5,0.0,1.9999987511501358,0.2776124355777592,0.21333747026747157,3.1147450000000004e-07,1.102002e-07,
2e-07,4e-08,8,2,0.0,1.9999987431007233,0.23297278509364083,0.25797712075158996,3.7337570000000004e-07,1.0954480000000009e-07,
2e-07,3e-08,8,2,0.0,1.9999987431007233,0.23297278509364083,0.25797712075158996,3.7337570000000004e-07,1.0954480000000009e-07,
8e-07,4e-08,4,1,0.0,1.9999987173780185,0.48581114264661845,0.0312401434053468,5.455098e-07,1.073042e-07,
8e-07,3e-08,4,1,0.0,1.9999987173780185,0.48581114264661845,0.0312401434053468,5.455098e-07,1.073042e-07,
1.6e-06,9e-08,1,1,0.0,1.9999986821087068,-0.07431853947183675,0.5866059993985516,2.278920000000001e-07,1.092745e-07,7.414306666666671e-07
2e-07,4e-08,4,4,0.0,1.9999986799262497,0.0726460626291312,0.38922411939131424,1.8318690000000002e-07,1.122341e-07,
2e-07,3e-08,4,4,0.0,1.9999986799262497,0.0726460626291312,0.38922411939131424,1.8318690000000002e-07,1.122341e-07,
1e-07,3e-08,8,4,0.0,1.9999986615792573,0.14248297003715166,0.3,2.2774510000000002e-07,1.119815000000001e-07,
